Genero,Locutor,Tentativa,Fonema,fo,f1,f2,f3
1,1,1,1,112.13,635.4,1099.2,2604.3
1,1,2,1,118.49,607.86,1067.4,2588.8
1,1,3,1,121.71,637.9,1163.5,2553.4
1,1,4,1,122.09,584.08,1183.2,2499.3
1,1,5,1,126.22,577.2,1142.2,2498.9
1,1,1,2,117.25,463.79,1801,2470.6
1,1,2,2,116.16,444.47,1858.8,2566.9
1,1,3,2,121,482,1759.6,2438.7
1,1,4,2,125.5,485.48,1780.1,2552.5
1,1,5,2,131.98,510.71,1719.7,2475.5
1,1,1,3,146.14,247.71,2239.1,3392.2
1,1,2,3,125.91,308.9,1939.4,2797
1,1,3,3,126.52,316.28,2076.6,2816.8
1,1,4,3,127.7,345.26,1922,2857.3
1,1,5,3,133.55,288.25,2143.1,2658.2
1,1,1,4,117.26,473.05,832.63,2791.1
1,1,2,4,126.83,488.24,868.95,2535.6
1,1,3,4,124.4,466.21,772.59,2546.1
1,1,4,4,129.81,491.8,877.2,2588.9
1,1,5,4,136.1,468.68,906.05,2525
1,1,1,5,129.63,257.88,817.1,1845.9
1,1,2,5,175.85,273.17,776.84,2300.8
1,1,3,5,127.95,311.15,558.52,2282.9
1,1,4,5,129.34,289.75,533.93,1741.7
1,1,5,5,154.9,308.73,791.87,2346.8
1,2,1,1,105.13,651.15,1283.8,2241.3
1,2,2,1,101.62,641.97,1204.3,2291
1,2,3,1,96.982,653.56,1283.7,2174.3
1,2,4,1,98.009,635.22,1301.3,2084.4
1,2,5,1,102.39,651.07,1265.7,2330.8
1,2,1,2,109.49,422.87,1824.5,2530.5
1,2,2,2,107.02,314.79,1897.3,2772.8
1,2,3,2,100.22,319.19,1951.9,2608.7
1,2,4,2,104.85,300.09,2036,2853.6
1,2,5,2,99.83,481.15,1843.7,2570.3
1,2,1,3,107.45,226.92,2205.1,3060.1
1,2,2,3,108.26,207.07,347.23,2144.2
1,2,3,3,103.55,272.8,2200.5,3159.5
1,2,4,3,106.46,264.19,2178.6,3106.7
1,2,5,3,98.741,262.98,2181.6,3162.5
1,2,1,4,100.79,505.63,894.01,2435.9
1,2,2,4,103.55,485.56,919.42,2267.4
1,2,3,4,99.882,476.83,879.86,2162.5
1,2,4,4,104.64,479.61,888.37,2292.5
1,2,5,4,98.759,514.43,907.38,2270.2
1,2,1,5,122.74,289.37,729.4,2441
1,2,2,5,107.8,293.02,679.13,2197.7
1,2,3,5,100.28,278.91,660.55,2411.1
1,2,4,5,102.01,274,654.28,2271.7
1,2,5,5,100.53,269.43,661.56,2433.1
1,3,1,1,293.89,439.59,1272,1761.3
1,3,2,1,285.72,429.49,1365.4,1814.7
1,3,3,1,278.89,449.04,1590.4,1711
1,3,4,1,297.94,443.58,1414.9,1837.9
1,3,5,1,282.35,401.54,1432.5,1741.8
1,3,1,2,134.16,364.52,1675.4,2538.7
1,3,2,2,137.04,409.57,1596.9,2521.1
1,3,3,2,134.54,410.33,1454.8,2427.1
1,3,4,2,135.14,398.62,1556.7,2559.3
1,3,5,2,135.07,428.4,1596.3,2470.3
1,3,1,3,278.78,530.11,1128.4,3551.7
1,3,2,3,307.64,388.63,621,1882.6
1,3,3,3,279.65,546.53,1066.8,3153.7
1,3,4,3,282.41,495.52,959.25,3087.7
1,3,5,3,281.61,540.46,1013.6,3220.2
1,3,1,4,290.24,434.08,1415.1,1473.2
1,3,2,4,307.71,457.26,1348,2028.5
1,3,3,4,289.36,414.28,1357.9,1487
1,3,4,4,287.44,413.5,1274.2,1464.3
1,3,5,4,277.79,466.15,1337.7,1393.6
1,3,1,5,293.97,506.39,916.79,2376.8
1,3,2,5,299.84,568.5,976.79,2117.7
1,3,3,5,389.57,675.88,1328.7,2362.3
1,3,4,5,149.37,507.27,1042.4,2030.8
1,3,5,5,323.2,632.35,1340.9,2285.2
1,4,1,1,127.95,515.49,1184,2048.2
1,4,2,1,129.75,370.04,1106.1,1858
1,4,3,1,129.99,453.14,1124.1,2379.2
1,4,4,1,131.92,413.15,1111.4,2361.4
1,4,5,1,129.66,398.28,1157.2,2268.5
1,4,1,2,134.16,364.52,1675.4,2538.7
1,4,2,2,137.04,409.57,1596.9,2521.1
